alohaspaceman 161083492197 "2017-05-26 05:03:53 GMT" https://alohaspaceman.tumblr.com/post/161083492197/reblog-if-youre-in-the-my-ship-isnt-canon-but  True text
alohaspaceman 161046563308 "2017-05-25 04:35:51 GMT" https://alohaspaceman.tumblr.com/post/161046563308/admfirmuspiett-someone-what-are-you-planning-to "admfirmuspiett: someone: what are you planning to do after college? me: " False text
alohaspaceman 161007567326 "2017-05-24 03:10:58 GMT" https://alohaspaceman.tumblr.com/post/161007567326/softheartedsuggestion-youre-not-selfish-for "softheartedsuggestion: you’re not selfish for wanting to be treated well " False text
alohaspaceman 160974450216 "2017-05-23 05:03:41 GMT" https://alohaspaceman.tumblr.com/post/160974450216/sansastarks-cartoonology-do-you-ever-wonder "sansastarks:  cartoonology:  do you ever wonder what household object you would be turned into in a Beauty and the Beast type situation because I do  #the trash can " False text
alohaspaceman 160945717428 "2017-05-22 12:35:39 GMT" https://alohaspaceman.tumblr.com/post/160945717428/allonsyforever-tumblr-mobile-i-didnt-post-your "allonsyforever: Tumblr mobile: I didn’t post your post. It went into the void and it’s gone now Tumblr mobile 2 minutes later: I posted it 16 times in a row for emphasis" False text
alohaspaceman 160917238884 "2017-05-21 18:42:51 GMT" https://alohaspaceman.tumblr.com/post/160917238884/avinaris-were-all-queer-here "avinaris: were-all-queer-here:  helpimbeingchasedbywaltwhitman: y'all I can guarantee you 9/10 times cashiers do not give a flyin’ flip what you buy listen I have seen people buy laxatives and adult diapers you think I’m gonna give a damn if you’re buying tampons for your wife like bitch I probably didn’t even look at the package I’m just concerned with getting it scanned beep beep motherfucker and we’re done This is helpful for people with anxiety  beep beep motherfucker " False text
alohaspaceman 160904295047 "2017-05-21 10:14:34 GMT" https://alohaspaceman.tumblr.com/post/160904295047/thedailyshow-yale-professor-timothy-snyder "thedailyshow:  Yale professor Timothy Snyder explains how democracies fall. " False text
alohaspaceman 160898689885 "2017-05-21 05:32:12 GMT" https://alohaspaceman.tumblr.com/post/160898689885/europes-view-of-trump "chartier: robertreich:  European governments, preparing for a round of major summits with Donald Trump, are wary.  I spent much of the past week speaking with officials and cabinet ministers in Europe. All they wanted to talk about was Trump.  Here, in summary, are the most frequent remarks I heard from them, and from others in my travels, in rough order of frequency: 1. Trump is unstable, and we’re not going to count on anything he says or commits to.  2. Trump doesn’t support NATO or European integration.  3. Trump is actively encouraging racist nationalists in our country.  4. Trump is allied with Putin to bring Europe down.  5. There’s no doubt Trump worked with Putin to win the U.S. presidential election. 6. If Trump’s polls drop too low, he’ll start a war in order to get Americans to rally around him. (Opinions varied on whether Trump’s war would be with North Korea, Iran, terrorists in Nigeria, or an escalation in Syria, Iraq, or Afghanistan.) 7. How did you Americans come to elect this ego-maniac? (Others called him an infant, moron, ignoramus, fool.) 8. He’s another Berlusconi (or Franco, Mussolini, Salazar, Hitler). 9. We remember fascism. We never thought it would happen in America.  10. The world depends on American leadership. We’re very worried. My overall impression: Anti-Trump sentiment is even stronger in Europe than it is in the U.S. If Trump expects his European trip to give him a reprieve from his troubles at home, he’s mistaken.  😰 " False text
alohaspaceman 160874564883 "2017-05-20 14:56:38 GMT" https://alohaspaceman.tumblr.com/post/160874564883/hellotrickster-bengaliprincess-today "hellotrickster: bengaliprincess:  today on “pettiest shit i’ve ever seen:” the new york times and the washington post both waited until air force one took off, then each published separate Really Big stories with not a ton of overlap, almost like they’d made a backroom deal to decide which paper got which story and that they should both wait until the president was out of the country to drop them and then this happened  and the president and his administration are trapped on a plane with reporters for FOURTEEN HOURS " False text
alohaspaceman 160865403837 "2017-05-20 06:56:56 GMT" https://alohaspaceman.tumblr.com/post/160865403837/dracomalfoyofficial-today-lunch-i-was-sitting "dracomalfoyofficial: today @ lunch i was sitting w/ a bunch of my kindergarteners and they started to discuss what each other’s “deepest fears” were. one said “being killed” and the other said “loving people.” i was like y'all…….you didn’t have to be that honest" False text
alohaspaceman 160860579508 "2017-05-20 03:39:05 GMT" https://alohaspaceman.tumblr.com/post/160860579508/queenofattolia-wentiqo-writers-how-are-we "queenofattolia: wentiqo:  writers: how are we gonna top ourselves! we got tons of exciting stuff in store!! at least eleven big bads this season!!!! whos gonna survive who won’t????!! 3 love triangles and 2 quadrangles!!!!  me: I’ll Pay You 5$ To Let The Characters Just Simply Talk To Each Other For Once  #650000 baffled articles: ‘but WHY is fanfiction a THING tho’ " False text
alohaspaceman 160858347516 "2017-05-20 02:14:34 GMT" https://alohaspaceman.tumblr.com/post/160858347516/cfo-absolute-i-love-fan-fiction-everyones-like "cfo-absolute: I love fan fiction. Everyone’s like “if the writers won’t make them gay then I will”" False text
alohaspaceman 160835112104 "2017-05-19 11:10:49 GMT" https://alohaspaceman.tumblr.com/post/160835112104/itacosa "axeman72: Dovrebbe esserci una legge che vieta l'uso della parola “italiano” in qualunque trasmissione americana che parla di cibo." False text
alohaspaceman 160831098874 "2017-05-19 06:56:54 GMT" https://alohaspaceman.tumblr.com/post/160831098874/babyblanketcoughsyrupcarnival-me-talking-to-a "babyblanketcoughsyrupcarnival: me, talking to a dog: you’re soft. are you even aware of your mortality? of course ur not. u pure, wholesome and sentient unselfish being. do u feel that? that’s my heart. i love you. look at those ears. here take my wallet" False text
alohaspaceman 160829916490 "2017-05-19 06:00:22 GMT" https://alohaspaceman.tumblr.com/post/160829916490/heyteenbookshey-dont-judge-a-book-by-its "heyteenbookshey:“don’t judge a book by it’s cover” is a beautiful powerful sentiment that i fully ignore when book shopping" False text
alohaspaceman 160823662890 "2017-05-19 02:14:26 GMT" https://alohaspaceman.tumblr.com/post/160823662890/sprixy-fanfic-writers-are-the-unsung-heroes-of "sprixy:  Fanfic writers are the unsung heroes of the Internet It always amazes me on how much effort and time fanfic writers will put into a story or even just a chapter. Just imagine writing an AU on something they know nothing about so they have to research the history of a different country, look up the rules and point system of a sport they have never played, or study and learn a subject they don’t know much about just because they wrote about a character who is good at marine biology or something. It is amazing the amount of time and care that is put into writing each chapter just so other people can read their work for free. Fanfic authors don’t expect the readers to pay them for their work, all they would like is a comment and a like on their chapters to tell them that the reader likes their writing and story. I wanted to write this as an appreciation post to all the amazing fanfic authors out there because without them people wouldn’t have countless hours of free entertainment. " False text
alohaspaceman 160795285636 "2017-05-18 06:28:27 GMT" https://alohaspaceman.tumblr.com/post/160795285636/theres-no-show-where-you-love-all-the-main "abberryyang: " False text
alohaspaceman 160766412570 "2017-05-17 13:04:04 GMT" https://alohaspaceman.tumblr.com/post/160766412570/singingyogi-commonlynonsensical-while-im "singingyogi: commonlynonsensical:  while I’m here: aspartame does not give you cancer gluten is not bad for you if you’re not allergic/don’t have celiac disease superfoods aren’t real, they’re just healthy things with maybe some nicer levels of certain vitamins vaccines do not cause autism or really anything else and the chemicals present in them that typically scare you are in such minute amounts that they do precisely fuck-all in your body (we’re talking scales of one part per million) you cannot do a cleanse or diet to “rid your body of toxins,” your kidneys and liver have that covered GMO foods will not kill you; most genetic crop modification just makes our crops hardier and produce more food (and genetic modification doesn’t inject more chemicals into your food, it’s just minor altering of DNA that is made of the exact same stuff your DNA is made from) if you feed your cat a vegan diet I will personally come to your home with the skull of a long-dead predator, point out the shape of its jaw and teeth as indicators of predatory feeding habits, and then beat you with it  I love this " False text
alohaspaceman 160757705208 "2017-05-17 05:03:53 GMT" https://alohaspaceman.tumblr.com/post/160757705208/cat-pun-youre-so-polite-thank-you-i-have "cat-pun:“you’re so polite!” thank you i have anxiety" False text
alohaspaceman 160756075263 "2017-05-17 04:07:27 GMT" https://alohaspaceman.tumblr.com/post/160756075263/ssthongmagnet-saved-by-the-notepad-every-time "ssthongmagnet: saved-by-the-notepad: Every time Danny leans over a table, Steve has to remind himself that he can’t touch the butt but he can look.  " False text
alohaspaceman 160952192001 "2017-05-22 16:50:04 GMT" https://alohaspaceman.tumblr.com/post/160952192001/how-alex-oloughlin-found-his-aloha-spirit "  It was early 2010 and the Australian actor had just been offered the lead role on the reboot of the classic crime drama Hawaii Five-0, stepping into the shoes of the legendary Jack Lord to play the 50th state’s taciturn top cop, Steve McGarrett. Accepting meant moving to Oahu, in the center of the planet’s loveliest island archipelago. It should have been a no-brainer. Cue that big wave and the theme song by the Ventures:Dum-duh-da-da-da-dum…“I was conflicted,” Alex O'Loughlin says, reflecting on the decision from his house in Waikiki’s idyllic Diamond Head. “I’d done two network shows before that, neither of which had gone past a season.” He’d played vampire/private investigator Mick St. John on the short-lived 2007 supernatural romance Moonlight. A year later, he was Dr. Andy Yablonski on the medical drama Three Rivers, canceled after just eight episodes. Though anything seemed better than being penniless in Los Angeles, to suffer through another failed show in the middle of the Pacific, 2,500 miles from the mainland, was a risk he wasn’t sure he wanted to take.“I didn’t know anything about Hawaii. I asked everyone, ‘What do I do? Is this the right move?’” O’Loughlin says. “Everybody was like, 'Are you crazy? What’s wrong with you?’”He took the gig, staying on Waikiki Beach. For fans of the show, that’s where McGarrett and partner Danny “Danno” Williams were recently snookered into a joint spa weekend with their significant others.    “It was beautiful, but I didn’t get to see the real Hawaii,” O'Loughlin says. “I got a glimpse of something that wasn’t what Hawaii is. The weird, touristy, crazy hotel part. I still didn’t know how I felt about it, but the pilot felt really good.”It was, and remains, a really good pilot. In the nail-biting prelude, naval commander McGarrett’s convoy comes under rocket fire in the mountains of South Korea by baddies out to free his arms-dealer prisoner, Anton Hesse. Amid the attack, McGarrett listens on his satellite phone as his father, John, is killed on Oahu by Anton’s brother, Victor—though not before the Honolulu Police Department veteran leaves his son a few cryptic last words.By the time that wave breaks and the opening credits roll, you’re hooked: McGarrett has a vendetta and a mystery to solve, and you’re coming along with him. Reboots are tough, but the show’s depth, coupled with O'Loughlin’s chiseled portrayal of McGarrett, made the 21st century Hawaii Five-0 an instant hit. Suddenly, Oahu started feeling more certain.“People say these islands either embrace you or push you away,” O'Loughlin says. “I found myself, as a gift from the islands, being blessed in and given a Hawaiian name. I found all sorts of things drawing me in deeper and deeper.”    With a full season to shoot, he started to learn the local rhythms from friends, like fellow cast member Daniel Dae Kim, whose knowledge of Oahu stretches back to his days filming Lost. He took up surfing. A few years in, he flew in some friends from back home in Australia to help him rebuild a midcentury modern home he’d found in Diamond Head that had “spectacular bones.”Then he met the Hawaiian surfer and model Malia Jones. The couple had a son, Lion, in 2012, and later married. The house filled with boys. O'Loughlin brought to the family his teenage son, Saxon, and Jones brought a son from a previous marriage, Spike.“I’m about to use the G word to embrace the scope,” O'Loughlin says. “I don’t know what’s out there. I don’t know whether there’s a God or whether there’s lots of gods or whether there’s just universal energy, but I know from what’s happened that there’s something bigger than me.”As O'Loughlin’s life was progressing on Oahu, so was McGarrett’s, albeit down a much rockier family path. He avenged the death of his father. His mother, Doris, believed to be dead for 20 years, turned up alive, having faked her death to escape threats from her CIA past.He vanquished his true nemesis—the nefarious crime boss Wo Fat—who over the course of seasons framed him for the murder of Hawaii’s governor, kidnapped and tortured him, and revealed himself to be McGarrett’s virtual half-brother. He’s had two romantic relationships and has spent a lot of time shirtless and even more time kicking sundry bad guy ass.Hawaii Five-0 seasons are epic—each a whopping 25 episodes. Multiply that by six and you wind up at Episode 150. Playing a character for that long does things to you. O'Loughlin is in territory where few actors ever get to tread. “It’s such a massive volume,” he says. “This has been a master class for me. I can definitely drop into McGarrett’s head space anytime. I have a bible of who he is in my soul, in my mind.”With Wo Fat and his family issues somewhat in the rearview, McGarrett seems to be finding a modicum of peace on the show. “This season has been more of an easy-peasy McGarrett,” O’Loughlin says. “He still misses his dad, and the thing with Doris still hasn’t totally left him. But it’s not all like, 'Argh! I’ve got to save the world!’”Still, O'Loughlin is happy to leave the character behind when shooting wraps. “He’s a proper tough guy and a Navy SEAL. He’s always ready to go, walking into rooms like, 'What are we doing? What do we got?’ I’ve had the great fortune of being exposed to a lot of Navy SEALs, who’ve helped me with the character. They’re terrific guys. But being like them requires a specific sort of energy, and I have to manufacture that energy,” he says. “At the end of the day it’s like, 'Keep calm and have another cold one.’”    Paradise hasn’t been all surf and breathtaking sunsets. McGarrett may be a SEAL and a Teflon super-cop, but O'Loughlin isn’t, and injuries have taken their toll. In the first few seasons, he elected to do most of his own stunts, which he says was a mistake. He rattles off a litany of fractures and lacerations that could rival a snapshot collection of charts in any emergency room.“I blew one of my knees, I’ve torn ligaments and tendons, ankles, both shoulders, both wrists,” he says. “I’ve knocked my front teeth out. I’ve got fake front teeth. I tore my right shoulder to pieces—three external tears, a labrum tear and a detachment of the bicep tendon. My current favorite injury is two herniated discs in my lower lumbar, which I’m receiving stem cell treatment for to avoid surgery.”That last injury spooked O'Loughlin. Always athletic, he had to give up everything except swimming. The pain was so great, he could barely rouse himself from bed, and he worried about being able to throw a football with his grandkids.Signed on to Hawaii Five-0 through eight seasons, he began talking about walking away while he felt he still could. But recently, he’s felt his workload lighten, and those stem cell injections? They’ve been “magic,” he says. Does this mean he might challenge Jack Lord’s record 12 seasons as McGarrett?“That would be a miracle,” O’Loughlin says with a laugh. “But I can see coming back and doing another season or two. I think this show is everything. It’s the core of it all.”One thing is certain: O'Loughlin has found his home.“The majority of my important memories are now Hawaiian memories,” he says. “You’ve just got to look around. You’ve just got to watch the waves in the winter here. There’s something bigger than me in the world, and I feel like that source or whatever that is had something to do with this whole journey for me, because now it all makes sense.”By Ryan Devlin | Photography by Nino Muñoz | Styled by Lily Unkhoff.Originally published in Watch! Magazine, June 2017.  " True link
alohaspaceman 160902346491 "2017-05-21 08:21:40 GMT" https://alohaspaceman.tumblr.com/post/160902346491/arctic-stronghold-of-worlds-seeds-flooded-after "thewinterotter:  white-throated-packrat:  squeeful:  It was designed as an impregnable deep-freeze to protect the world’s most precious seeds from any global disaster and ensure humanity’s food supply forever. But the Global Seed Vault, buried in a mountain deep inside the Arctic circle, has been breached after global warming produced extraordinary temperatures over the winter, sending meltwater gushing into the entrance tunnel. The vault is on the Norwegian island of Spitsbergen and contains almost a million packets of seeds, each a variety of an important food crop. When it was opened in 2008, the deep permafrost through which the vault was sunk was expected to provide “failsafe” protection against “the challenge of natural or man-made disasters”.  Well, fuck…  Do you ever just feel like, wow, we sure do deserve to go extinct? " False link
alohaspaceman 160814698821 "2017-05-18 20:58:36 GMT" https://alohaspaceman.tumblr.com/post/160814698821/alex-oloughlin-confirms-hawaii-five-0-season-8 "barbela0127:   I’m sad about the news, but I support his decision. He has given too much to this show. There is no Five-0 without McDanno. So, please give all of them a happy ending and end this show after season 8.   Give all my best wishes to Alex. Thanks for 8 year’s amazing performance. You’re the best. Aloha. Mahalo.  This is an article based on Alex interviews he did in October to promote 707. There is recent interview made by Watch Magazine where he says he can see himself coming back for a season or two. The interview was done last April in Hawaii. The magazine is out right now, a fan got it in the mail and shared pics of the pics and the article:  Link" False link
